title,studio,domestic_gross,foreign_gross,year
fright night (2011) (2011),bv,18300000.0,22700000.0,2011
30 minutes or less (2011),sony,37100000.0,3500000.0,2011
the roommate (2011),sgem,37300000.0,3200000.0,2011
shark night 3d (2011),rela.,18900000.0,21300000.0,2011
monte carlo (2011),fox,23200000.0,16500000.0,2011
50/50 (2011),sum.,35000000.0,4200000.0,2011
mars needs moms (2011),bv,21400000.0,17600000.0,2011
dream house (2011),uni.,21300000.0,17200000.0,2011
jumping the broom (2011),tris,37300000.0,415000.0,2011
don't be afraid of the dark (2011),fd,24000000.0,12900000.0,2011
ra one (2011),eros,2500000.0,33400000.0,2011
a very harold & kumar 3d christmas (2011),wb,35100000.0,326000.0,2011
my week with marilyn (2011),wein.,14600000.0,20500000.0,2011
the sitter (2011),fox,30400000.0,4500000.0,2011
jane eyre (2011),focus,11200000.0,23500000.0,2011
courageous (2011),tris,34500000.0,19400000.0,2011
shaolin (2011),vari.,66100.0,33600000.0,2011
african cats (2011),bv,15400000.0,15400000.0,2011
the skin i live in (2011),spc,3200000.0,27700000.0,2011
i don't know how she does it (2011),wein.,9700000.0,20900000.0,2011
what's your number? (2011),fox,14000000.0,16399999.0,2011
drive angry (2011),sum.,10700000.0,18200000.0,2011
carnage (2011) (2011),spc,2500000.0,25100000.0,2011
a dangerous method (2011),spc,5700000.0,21800000.0,2011
the thing (2011) (2011),uni.,16900000.0,10500000.0,2011
the eagle (2011),focus,19500000.0,7600000.0,2011
legend of the fist: the return of chen zhen (2011),vari.,50400.0,26500000.0,2011
apollo 18 (2011),w/dim.,17700000.0,7900000.0,2011
biutiful (2011),ratt.,5100000.0,20000000.0,2011
your highness (2011),uni.,21600000.0,3300000.0,2011
our idiot brother (2011),wein.,24800000.0,19400000.0,2011
the rum diary (2011),fd,13100000.0,10800000.0,2011
the women on the 6th floor (2011),strand,720000.0,22500000.0,2011
potiche (2011),mbox,1600000.0,21600000.0,2011
warrior (2011),lgf,13700000.0,9400000.0,2011
young adult (2011),par.,16300000.0,6600000.0,2011
sarah's key (2011),wein.,7700000.0,13400000.0,2011
the way back (2011),nm,2700000.0,17600000.0,2011
a separation (2011),spc,7100000.0,12800000.0,2011
the guard (2011),spc,5400000.0,14200000.0,2011
margin call (2011),ratt.,5400000.0,14200000.0,2011
glee the 3d concert movie (2011),fox,11900000.0,6800000.0,2011
shame (2011),foxs,3900000.0,13800000.0,2011
13 assassins (2011),magn.,803000.0,16800000.0,2011
hoodwinked too! hood vs. evil (2011),wein.,10100000.0,6800000.0,2011
the heir apparent: largo winch (2011),mbox,10400.0,16900000.0,2011
the last godfather (2011),ratt.,164000.0,16600000.0,2011
delhi belly (2011),utv,1500000.0,15200000.0,2011
melancholia (2011),magn.,3000000.0,12900000.0,2011
judy moody and the not bummer summer (2011),rela.,15000000.0,678000.0,2011
the conspirator (2011),ratt.,11500000.0,3900000.0,2011
anonymous (2011),sony,4500000.0,10900000.0,2011
ip man 2: legend of the grandmaster (2011),vari.,206000.0,14900000.0,2011
the housemaid (2011),ifc,158000.0,14600000.0,2011
desert flower (2011),nge,44300.0,14600000.0,2011
pina (2011),ifc,3500000.0,11100000.0,2011
beginners (2011),focus,5800000.0,8500000.0,2011
my afternoons with margueritte (2011),cohen,667000.0,13600000.0,2011
i saw the devil (2011),magn.,129000.0,12600000.0,2011
